order_id,order_date,customer_id,seller_id,order_status
5001,10/04/2024,188,17,Inprogress
5002,04/09/2023,624,41,Inprogress
5003,24/11/2024,268,44,Inprogress
5004,22/07/2022,331,22,Inprogress
5005,27/11/2024,260,38,Completed
5006,19/03/2020,364,50,Inprogress
5007,18/08/2024,847,8,Inprogress
5008,18/05/2023,650,19,Inprogress
5009,05/04/2020,611,39,Completed
5010,02/04/2021,686,30,Inprogress
5011,09/12/2021,484,54,Completed
5012,10/07/2020,724,44,Inprogress
5013,27/10/2021,460,46,Inprogress
5014,17/09/2023,794,47,Inprogress
5015,21/05/2021,336,50,Inprogress
5016,09/08/2022,375,3,Inprogress
5017,07/04/2021,639,53,Completed
5018,27/10/2024,194,11,Completed
5019,17/01/2020,349,3,Inprogress
5020,21/06/2021,461,28,Inprogress
5021,15/08/2022,87,28,Completed
5022,26/03/2020,328,41,Inprogress
5023,07/05/2022,790,52,Inprogress
5024,15/08/2024,271,47,Completed
5025,14/11/2021,879,42,Inprogress
5026,01/02/2021,314,29,Completed
5027,29/06/2023,232,40,Completed
5028,13/07/2023,444,13,Inprogress
5029,23/10/2023,401,17,Inprogress
5030,12/10/2021,459,17,Completed
5031,29/11/2024,676,52,Inprogress
5032,23/05/2020,822,27,Completed
5033,25/11/2021,32,4,Inprogress
5034,18/10/2023,37,53,Inprogress
5035,31/01/2023,262,30,Inprogress
5036,31/07/2022,413,40,Completed
5037,29/03/2024,691,1,Completed
5038,11/10/2021,81,38,Completed
5039,21/06/2023,345,23,Completed
5040,01/06/2023,320,3,Completed
5041,13/08/2024,601,55,Inprogress
5042,05/03/2024,623,12,Completed
5043,06/05/2024,770,24,Inprogress
5044,08/12/2021,467,16,Inprogress
5045,30/06/2021,332,12,Completed
5046,26/11/2024,763,40,Completed
5047,11/05/2023,585,29,Completed
5048,24/01/2021,483,48,Inprogress
5049,23/10/2023,544,36,Completed
5050,30/09/2020,602,22,Completed
5051,13/07/2020,844,55,Completed
5052,28/06/2020,160,9,Inprogress
5053,20/06/2022,223,18,Inprogress
5054,05/12/2023,450,25,Completed
5055,04/08/2022,754,33,Inprogress
5056,01/04/2023,159,55,Completed
5057,07/03/2023,626,3,Inprogress
5058,01/07/2022,49,1,Inprogress
5059,05/02/2020,789,36,Completed
5060,13/05/2024,38,54,Completed
5061,28/09/2022,417,10,Completed
5062,11/10/2022,79,31,Inprogress
5063,25/05/2022,72,14,Completed
5064,20/06/2023,502,18,Inprogress
5065,11/07/2023,311,17,Completed
5066,06/05/2023,48,40,Inprogress
5067,26/12/2024,704,48,Inprogress
5068,04/01/2024,540,19,Inprogress
5069,24/10/2023,746,21,Completed
5070,29/12/2024,290,5,Completed
5071,07/04/2022,795,16,Inprogress
5072,06/06/2021,606,28,Completed
5073,18/06/2020,789,2,Inprogress
5074,14/06/2022,829,27,Completed
5075,09/11/2023,525,10,Completed
5076,04/08/2024,28,4,Completed
5077,18/10/2022,318,38,Completed
5078,15/08/2022,478,8,Completed
5079,02/07/2022,519,8,Completed
5080,24/07/2021,618,29,Inprogress
5081,15/12/2022,569,55,Completed
5082,12/11/2024,74,41,Inprogress
5083,21/09/2022,122,1,Completed
5084,12/09/2022,860,43,Inprogress
5085,10/04/2021,688,47,Inprogress
5086,14/11/2022,49,45,Inprogress
5087,07/07/2023,614,16,Completed
5088,03/04/2020,297,16,Inprogress
5089,30/03/2020,156,23,Completed
5090,03/01/2023,829,7,Inprogress
5091,16/08/2020,186,24,Inprogress
5092,05/04/2023,485,44,Completed
5093,25/11/2021,111,3,Completed
5094,27/07/2022,125,30,Inprogress
5095,04/07/2020,196,48,Inprogress
5096,17/06/2024,192,36,Inprogress
5097,14/05/2020,565,26,Completed
5098,04/05/2021,826,49,Inprogress
5099,21/01/2022,849,4,Inprogress
5100,16/01/2023,589,38,Inprogress
5101,25/12/2024,880,20,Completed
5102,26/07/2021,105,41,Inprogress
5103,26/02/2024,144,10,Completed
5104,12/02/2022,363,50,Completed
5105,09/03/2020,9,5,Inprogress
5106,17/12/2023,615,53,Inprogress
5107,11/07/2024,359,21,Completed
5108,15/06/2024,532,47,Inprogress
5109,14/11/2024,886,29,Inprogress
5110,24/02/2021,384,54,Inprogress
5111,22/01/2021,499,22,Completed
5112,24/09/2024,279,27,Inprogress
5113,06/07/2022,323,37,Completed
5114,06/10/2020,881,54,Completed
5115,25/12/2022,751,18,Completed
5116,07/05/2021,655,54,Inprogress
5117,16/03/2020,280,38,Inprogress
5118,02/09/2023,789,25,Completed
5119,15/06/2023,139,2,Completed
5120,03/12/2023,391,23,Completed
5121,16/07/2022,34,50,Inprogress
5122,31/07/2023,705,6,Inprogress
5123,27/06/2020,866,33,Inprogress
5124,02/04/2021,875,39,Completed
5125,28/10/2023,478,40,Completed
5126,27/03/2023,117,51,Inprogress
