shipping_id,order_id,shipping_date,return_date,shipping_providers,delivery_status
1,5001,16/04/2024,,bluedart,Delivered
2,5002,08/09/2023,11/09/2023,fedex,Returned
3,5003,27/11/2024,,bluedart,In Transit
4,5004,29/07/2022,02/08/2022,dhl,Returned
5,5005,04/12/2024,07/12/2024,ups,Returned
6,5006,26/03/2020,,ups,In Transit
7,5007,20/08/2024,29/08/2024,fedex,Returned
8,5008,23/05/2023,31/05/2023,fedex,Returned
9,5009,10/04/2020,,fedex,Delivered
10,5010,08/04/2021,,fedex,Delivered
11,5011,11/12/2021,,fedex,Delivered
12,5012,13/07/2020,,bluedart,In Transit
13,5013,31/10/2021,09/11/2021,bluedart,Returned
14,5014,20/09/2023,,ups,In Transit
15,5015,23/05/2021,,bluedart,Delivered
16,5016,12/08/2022,,fedex,Delivered
17,5017,13/04/2021,21/04/2021,dhl,Returned
18,5018,02/11/2024,11/11/2024,dhl,Returned
19,5019,20/01/2020,,ups,In Transit
20,5020,27/06/2021,05/07/2021,dhl,Returned
21,5021,17/08/2022,,ups,Delivered
22,5022,29/03/2020,,bluedart,Delivered
23,5023,13/05/2022,,bluedart,Delivered
24,5024,21/08/2024,,dhl,In Transit
25,5025,19/11/2021,28/11/2021,ups,Returned
26,5026,06/02/2021,12/02/2021,ups,Returned
27,5027,01/07/2023,07/07/2023,bluedart,Returned
28,5028,16/07/2023,,ups,Delivered
29,5029,24/10/2023,29/10/2023,dhl,Returned
30,5030,16/10/2021,26/10/2021,dhl,Returned
31,5031,03/12/2024,09/12/2024,dhl,Returned
32,5032,24/05/2020,,ups,In Transit
33,5033,28/11/2021,08/12/2021,fedex,Returned
34,5034,23/10/2023,,ups,Delivered
35,5035,07/02/2023,,fedex,Delivered
36,5036,02/08/2022,06/08/2022,fedex,Returned
37,5037,31/03/2024,,ups,Delivered
38,5038,13/10/2021,,fedex,In Transit
39,5039,25/06/2023,,dhl,In Transit
40,5040,04/06/2023,13/06/2023,bluedart,Returned
41,5041,18/08/2024,,fedex,In Transit
42,5042,10/03/2024,,bluedart,Delivered
43,5043,08/05/2024,13/05/2024,fedex,Returned
44,5044,14/12/2021,17/12/2021,dhl,Returned
45,5045,07/07/2021,12/07/2021,ups,Returned
46,5046,01/12/2024,,fedex,Delivered
47,5047,17/05/2023,,fedex,In Transit
48,5048,26/01/2021,,dhl,Delivered
49,5049,27/10/2023,05/11/2023,ups,Returned
50,5050,07/10/2020,,bluedart,Delivered
51,5051,19/07/2020,,dhl,In Transit
52,5052,01/07/2020,,ups,Delivered
53,5053,26/06/2022,,fedex,In Transit
54,5054,06/12/2023,09/12/2023,fedex,Returned
55,5055,06/08/2022,,fedex,In Transit
56,5056,07/04/2023,14/04/2023,fedex,Returned
57,5057,13/03/2023,,dhl,Delivered
58,5058,06/07/2022,14/07/2022,ups,Returned
59,5059,11/02/2020,,dhl,Delivered
60,5060,15/05/2024,,fedex,Delivered
61,5061,04/10/2022,08/10/2022,fedex,Returned
62,5062,18/10/2022,,dhl,Delivered
63,5063,01/06/2022,05/06/2022,fedex,Returned
64,5064,25/06/2023,,dhl,In Transit
65,5065,16/07/2023,,ups,Delivered
66,5066,11/05/2023,16/05/2023,bluedart,Returned
67,5067,01/01/2025,,ups,Delivered
68,5068,06/01/2024,11/01/2024,ups,Returned
69,5069,31/10/2023,,ups,Delivered
70,5070,04/01/2025,,dhl,Delivered
71,5071,14/04/2022,,bluedart,Delivered
72,5072,10/06/2021,,fedex,In Transit
73,5073,21/06/2020,,fedex,Delivered
74,5074,18/06/2022,26/06/2022,bluedart,Returned
75,5075,15/11/2023,,fedex,Delivered
76,5076,09/08/2024,,fedex,Delivered
77,5077,25/10/2022,,bluedart,In Transit
78,5078,18/08/2022,,bluedart,Delivered
79,5079,08/07/2022,14/07/2022,ups,Returned
80,5080,29/07/2021,,ups,In Transit
81,5081,16/12/2022,,bluedart,Delivered
82,5082,15/11/2024,23/11/2024,dhl,Returned
83,5083,27/09/2022,,dhl,Delivered
84,5084,18/09/2022,,fedex,Delivered
85,5085,13/04/2021,,dhl,In Transit
86,5086,20/11/2022,,fedex,Delivered
87,5087,10/07/2023,,bluedart,Delivered
88,5088,08/04/2020,,dhl,Delivered
89,5089,31/03/2020,,fedex,In Transit
90,5090,04/01/2023,11/01/2023,bluedart,Returned
91,5091,22/08/2020,25/08/2020,fedex,Returned
92,5092,12/04/2023,16/04/2023,dhl,Returned
93,5093,26/11/2021,,ups,Delivered
94,5094,01/08/2022,,bluedart,In Transit
95,5095,05/07/2020,08/07/2020,bluedart,Returned
96,5096,20/06/2024,,fedex,Delivered
97,5097,15/05/2020,,dhl,In Transit
98,5098,11/05/2021,14/05/2021,fedex,Returned
99,5099,23/01/2022,02/02/2022,fedex,Returned
